Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Complexible_stardog-spring,com.stardog.ext.spring,AdderCallback,0,0,1,0,8,1,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\AdderCallback.java,21
Complexible_stardog-spring,com.stardog.ext.spring,ConnectionCallback,0,0,1,0,8,1,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\ConnectionCallback.java,20
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,4,0,10,10,100,13,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\DataImporter.java,30
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,4,0,9,9,82,13,0,0,0.2222222222222222,6,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\DataSource.java,29
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,20,0,41,41,295,47,0,0,0.17073170731707318,0,2,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\DataSourceFactoryBean.java,34
Complexible_stardog-spring,com.stardog.ext.spring,GetterCallback,0,0,1,0,8,1,0,0,-1.0,2,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\GetterCallback.java,20
Complexible_stardog-spring,com.stardog.ext.spring,GraphMapper,0,0,1,0,8,1,0,0,-1.0,2,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\GraphMapper.java,20
Complexible_stardog-spring,com.stardog.ext.spring,OptionParser,1,0,4,0,58,9,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\OptionParser.java,17
Complexible_stardog-spring,com.stardog.ext.spring,Provider,0,0,2,2,9,2,3,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\Provider.java,22
Complexible_stardog-spring,com.stardog.ext.spring,RemoverCallback,0,0,1,0,8,1,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\RemoverCallback.java,21
Complexible_stardog-spring,com.stardog.ext.spring,RowMapper,0,0,1,0,8,1,0,0,-1.0,3,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\RowMapper.java,20
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,2,0,28,28,440,55,0,0,0.14285714285714285,4,8,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\SnarlTemplate.java,39
Complexible_stardog-spring,com.stardog.ext.spring,CCSupplier,0,0,1,1,5,1,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\test\java\com\stardog\ext\spring\CCSupplier.java,22
Complexible_stardog-spring,com.stardog.ext.spring,EmbeddedProvider,1,0,2,2,42,4,0,1,0.0,0,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\test\java\com\stardog\ext\spring\EmbeddedProvider.java,11
Complexible_stardog-spring,com.stardog.ext.spring,ServerProvider,1,0,2,2,42,4,0,1,0.0,0,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\test\java\com\stardog\ext\spring\ServerProvider.java,11
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,6,0,48,48,446,49,0,0,0.4791666666666667,0,6,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\test\java\com\stardog\ext\spring\TestDataSourceFactory.java,51
Complexible_stardog-spring,com.stardog.ext.spring,EmbeddedProvider,1,0,2,2,42,4,0,1,0.0,0,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring-batch\src\test\java\com\stardog\ext\spring\EmbeddedProvider.java,12
Complexible_stardog-spring,com.stardog.ext.spring.mapper,SimpleRowMapper,0,0,1,1,14,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\mapper\SimpleRowMapper.java,26
Complexible_stardog-spring,com.stardog.ext.spring.mapper,SingleMapper,1,0,2,2,24,3,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\mapper\SingleMapper.java,22
Complexible_stardog-spring,com.stardog.ext.spring.utils,TypeConverter,0,0,6,6,48,10,0,0,-1.0,2,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\main\java\com\stardog\ext\spring\utils\TypeConverter.java,30
Complexible_stardog-spring,com.stardog.ext.spring.utils,TestTypeConverter,0,0,2,2,48,2,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring\src\test\java\com\stardog\ext\spring\utils\TestTypeConverter.java,27
Complexible_stardog-spring,com.stardog.ext.spring.batch,BatchAdderCallback,0,0,1,0,7,1,1,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring-batch\src\main\java\com\stardog\ext\spring\batch\BatchAdderCallback.java,23
Complexible_stardog-spring,com.stardog.ext.spring.batch,SnarlItemReader,6,0,9,9,70,11,0,0,0.0,1,3,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring-batch\src\main\java\com\stardog\ext\spring\batch\SnarlItemReader.java,33
Complexible_stardog-spring,com.stardog.ext.spring.batch,SnarlItemWriter,3,0,5,5,52,5,0,0,0.0,1,2,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring-batch\src\main\java\com\stardog\ext\spring\batch\SnarlItemWriter.java,29
Complexible_stardog-spring,com.stardog.ext.spring.batch,TestBatchCallback,0,0,1,1,12,2,0,1,-1.0,0,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring-batch\src\test\java\com\stardog\ext\spring\batch\TestBatchCallback.java,26
Complexible_stardog-spring,com.stardog.ext.spring.batch,TestRecord,2,0,6,6,39,6,0,0,0.3333333333333333,1,0,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring-batch\src\test\java\com\stardog\ext\spring\batch\TestRecord.java,18
Complexible_stardog-spring,com.stardog.ext.spring.batch,TestRowMapper,0,0,1,1,11,1,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring-batch\src\test\java\com\stardog\ext\spring\batch\TestRowMapper.java,22
Complexible_stardog-spring,com.stardog.ext.spring.batch,TestSpringBatch,6,0,10,10,125,14,0,0,0.7,0,4,E:\Repositories\Cloned_Reposit\Complexible_stardog-spring\stardog-spring-batch\src\test\java\com\stardog\ext\spring\batch\TestSpringBatch.java,61
